,Review Text,Label,Review Text_processed
0,"sir okay armygreen shorts nice""""",1,"['sir', 'okay', 'armygreen', 'shorts', 'nice']"
1,"di pareha yong mga size nila may sobrang liit""""",0,"['di', 'pareha', 'yong', 'size', 'sobrang', 'liit']"
2,"super worth it ang ganda Sombra grabi order na kayo di kayo magsisisisis sobranh ganda order ulit ako at ang bilis dumating""""",1,"['super', 'worth', 'ganda', 'sombra', 'grabi', 'order', 'di', 'sisisisis', 'sobranh', 'ganda', 'order', 'ulit', 'bilis', 'dumating']"
3,"ganda po salamat""""",1,"['ganda', 'po', 'salamat']"
4,"maayos pagkadeliver maganda den sya""""",0,"['ayos', 'kadeliver', 'anda', 'den', 'sya']"
5,"ang gnda nang short nagustohan nang binigyan ko salamat din sa delivery guy ang bait Niya Thank you po kuya""""",0,"['gnda', 'nang', 'short', 'ustoh', 'nang', 'binigy', 'salamat', 'din', 'delivery', 'guy', 'bait', 'thank', 'po', 'kuya']"
6,"maganda sya medyo manipis nga lang ..""""",0,"['anda', 'sya', 'medyo', 'nipis', 'nga', 'lang']"
7,"manipis pla at ska dami himulmol ng sinulid di maganda ang tahi.. di nko uulit s inyo... s madaling salita PANGET NG GAWA""""",0,"['nipis', 'pla', 'ska', 'dami', 'himulmol', 'sinulid', 'di', 'anda', 'tahi', 'di', 'nko', 'uulit', 'inyo', 'daling', 'salita', 'panget', 'gawa']"
8,"madali maponit""""",1,"['dali', 'ponit']"
9,"Unsatisfied. Poor quality. easily torn.""""",0,"['unsatisfied', 'poor', 'quality', 'easily', 'torn']"
10,"Thank You ang Ganda niyaUmorder ulit ako ng 50pcs sana my free na kahit 3 pcs hehehe""""",1,"['thank', 'ganda', 'niyaumorder', 'ulit', '50pcs', 'sana', 'free', 'hit', '3', 'pcs', 'hehehe']"
11,"Good quality at maayos naman ang pagkakabalot. thank you seller.""""",0,"['good', 'quality', 'ayos', 'kakabalot', 'thank', 'seller']"
12,"ganda niyatry lang oorder ulit. kala ko malapad Hindi pala. pero ang ganda Saka madikit""""",0,"['ganda', 'niyatry', 'lang', 'oorder', 'ulit', 'kala', 'lapad', 'pala', 'pero', 'ganda', 'saka', 'dikit']"
13,"GandaGanda GandagandaGandaGanda GandaGandaGanda""""",1,"['gandaganda', 'gandagandagandaganda', 'gandagandaganda']"
14,"ang ganda superrrrr...makapit pa sa dingding kahit pa rough ang dingding...thanks seller at sa mamang nag deliver..order ulit aq""""",1,"['ganda', 'superrrrrmakapit', 'dingding', 'hit', 'rough', 'dingdingthanks', 'seller', 'mang', 'nag', 'deliverorder', 'ulit', 'aq']"
15,"Ok naman yung bricks diko inexpect na malaki kase mura lang and manipis pala sya di parehas pag sa store ka talaga bumili. pero ok na sya for the price mura lang naman eh nakuha ko lang sya ng 216pesos 20pcs na""""",0,"['ok', 'yung', 'bricks', 'diko', 'expect', 'laki', 'kase', 'mura', 'lang', 'nipis', 'pala', 'sya', 'di', 'parehas', 'pag', 'store', 'ka', 'talaga', 'bumili', 'pero', 'ok', 'sya', 'price', 'mura', 'lang', 'eh', 'nakuha', 'lang', 'sya', '216pesos', '20pcs']"
16,"I love the color.. I like it so much.. kaso sobrang tagal ng delivery .. umabot ng.3days bago dumating yung order ko bago nadeliver""""",0,"['love', 'color', 'like', 'much', 'kaso', 'sobrang', 'tagal', 'delivery', 'abot', 'ng3days', 'bago', 'dumating', 'yung', 'order', 'bago', 'nadeliver']"
17,"Satisfied""""",1,['satisfied']
18,"nice cute satisfied""""",1,"['nice', 'cute', 'satisfied']"
19,"Maganda yung quality nya. Waterproof""""",0,"['anda', 'yung', 'quality', 'nya', 'waterproof']"
20,"Halatang ginupit ang mga brick wall nakaka dismaya wag kayo omorder jan""""",0,"['halatang', 'ginupit', 'brick', 'wall', 'nakaka', 'dismaya', 'wag', 'omorder', 'jan']"
21,"I'm sorry but I expect its like what I bought at the mall last week regarding the size... Masyado po palang maliit lang.. May ganun pala na size? Di ko gusto ang size poh.. Subra liit niya""""",0,"['im', 'sorry', 'expect', 'like', 'bought', 'mall', 'last', 'week', 'regarding', 'size', 'syado', 'po', 'palang', 'liit', 'lang', 'ganun', 'pala', 'size', 'di', 'gusto', 'size', 'poh', 'subra', 'liit']"
22,"mint green order q dumatng light green...makaiba 2loy ang qlay....ok na rin hassle kc magbalik...manipis lng xa pero madikit...sad pti ung pink light ang ibngy""""",0,"['mint', 'green', 'order', 'q', 'dumatng', 'light', 'greenmakaiba', '2loy', 'qlayok', 'hassle', 'kc', 'balikmanipis', 'lng', 'xa', 'pero', 'dikitsad', 'pti', 'ung', 'pink', 'light', 'ibngy']"
23,"12pcs order Ang binigay 3pcs Ang mahal na ng shipping Ang mahal pa pala Neto 60 Isa pala! kaloka!""""",0,"['12pcs', 'order', 'binigay', '3pcs', 'hal', 'shipping', 'hal', 'pala', 'neto', '60', 'isa', 'pala', 'loka']"
24,"Wala Naman pong problema maganda Naman po""""",0,"['pong', 'problema', 'anda', 'po']"
25,"Halatang ginupit ang mga brick wall nakaka dismaya wag kayo omorder jan""""",0,"['halatang', 'ginupit', 'brick', 'wall', 'nakaka', 'dismaya', 'wag', 'omorder', 'jan']"
26,"12pcs order Ang binigay 3pcs Ang mahal na ng shiffing Ang mahal pa pala Neto 60 Isa pala! kaloka!""""",0,"['12pcs', 'order', 'binigay', '3pcs', 'hal', 'shiffing', 'hal', 'pala', 'neto', '60', 'isa', 'pala', 'loka']"
27,"Wala Naman pong problema maganda Naman po""""",0,"['pong', 'problema', 'anda', 'po']"
28,"baka gusto ninyo makatikim ng mura sa panloloko ninyo? post ninyo na size iba sa actual size nq dumating.""""",0,"['gusto', 'ninyo', 'katikim', 'mura', 'panloloko', 'ninyo', 'post', 'ninyo', 'size', 'iba', 'actual', 'size', 'nq', 'dumating']"
29,"Thank u seller..I recvd the items in gud condition.. Npakganda ng product na 2 nkakasosyal ng bedroom nmin..love it so much""""",0,"['thank', 'u', 'selleri', 'recvd', 'items', 'gud', 'condition', 'npakganda', 'product', '2', 'nkakasosyal', 'bedroom', 'nminlove', 'much']"
30,"sobrang sulit sa presyo nya na 30gb na no expiration. wala pangamba maubusan ng data lagi ka updated sa mga social message kapag nasa byahe. pang 2nd order ko na ito. salamat sa GOMO Sim""""",0,"['sobrang', 'sulit', 'presyo', 'nya', '30gb', 'expiration', 'pangamba', 'ubus', 'data', 'lagi', 'ka', 'updated', 'social', 'message', 'pag', 'byahe', 'pang', '2nd', 'order', 'salamat', 'gomo', 'sim']"
31,"tested for my piso wifi... and it's working... I got 15 - 20 mbps download speed and a upload speed of 5 - 15 mbps... hope there's always unli on this promo...""""",0,"['tested', 'piso', 'wifi', 'working', 'got', '15', '20', 'mbps', 'download', 'speed', 'upload', 'speed', '5', '15', 'mbps', 'hope', 'theres', 'always', 'unli', 'promo']"
32,"ok naman mdyo yupi lang yung packaging.. pero oks lang mhlga is andun yung sim at data..di ko nabubuksan kc pang benta ko.. tnx sa rider..""""",0,"['ok', 'mdyo', 'yupi', 'lang', 'yung', 'packaging', 'pero', 'oks', 'lang', 'mhlga', 'andun', 'yung', 'sim', 'datadi', 'nabubuks', 'kc', 'pang', 'benta', 'tnx', 'rider']"
